No,Full Name,Email,External Id,Campus,Sub
114,114,114@fpt.edu.vn,HRM201c-HN-S114,HN,HRM201c
115,115,115@fpt.edu.vn,HRM201c-HN-S115,HN,HRM201c
116,116,116@fpt.edu.vn,HRM201c-HN-S116,HN,HRM201c
117,117,117@fpt.edu.vn,HRM201c-HN-S117,HN,HRM201c
1553,1553,1553@fpt.edu.vn,HRM201c-SG-S1553,SG,HRM201c
1554,1554,1554@fpt.edu.vn,HRM201c-SG-S1554,SG,HRM201c
1555,1555,1555@fpt.edu.vn,HRM201c-SG-S1555,SG,HRM201c
1556,1556,1556@fpt.edu.vn,HRM201c-SG-S1556,SG,HRM201c
1557,1557,1557@fpt.edu.vn,HRM201c-SG-S1557,SG,HRM201c
1558,1558,1558@fpt.edu.vn,HRM201c-SG-S1558,SG,HRM201c
1559,1559,1559@fpt.edu.vn,HRM201c-SG-S1559,SG,HRM201c
1560,1560,1560@fpt.edu.vn,HRM201c-SG-S1560,SG,HRM201c
1561,1561,1561@fpt.edu.vn,HRM201c-SG-S1561,SG,HRM201c
1562,1562,1562@fpt.edu.vn,HRM201c-SG-S1562,SG,HRM201c
1563,1563,1563@fpt.edu.vn,HRM201c-SG-S1563,SG,HRM201c
1564,1564,1564@fpt.edu.vn,HRM201c-SG-S1564,SG,HRM201c
1565,1565,1565@fpt.edu.vn,HRM201c-SG-S1565,SG,HRM201c
1566,1566,1566@fpt.edu.vn,HRM201c-SG-S1566,SG,HRM201c
1567,1567,1567@fpt.edu.vn,HRM201c-SG-S1567,SG,HRM201c
1568,1568,1568@fpt.edu.vn,HRM201c-SG-S1568,SG,HRM201c
1569,1569,1569@fpt.edu.vn,HRM201c-SG-S1569,SG,HRM201c
1570,1570,1570@fpt.edu.vn,HRM201c-SG-S1570,SG,HRM201c
1571,1571,1571@fpt.edu.vn,HRM201c-SG-S1571,SG,HRM201c
1572,1572,1572@fpt.edu.vn,HRM201c-SG-S1572,SG,HRM201c
